,price,area,bedrooms,bathrooms,year_built,renovated,distance_to_metro,community_score,days_on_market,sold_fast,prob
0,140.0,96.09434159508862,4.0,3.0,2003,0,0.6480236384712328,7.69342146799377,27.88334158017601,0,0.7705935678640777
1,72.0,69.20031787519008,3.0,2.0,1968,0,1.9416268570295057,7.440116155612388,13.396781797747341,0,0.9346443274903218
2,151.0,105.00902391612914,4.0,3.0,1986,0,1.0169283510482536,7.771532072142057,20.683224119128013,1,0.8734349872599794
3,132.0,108.81129432782427,3.0,2.0,1966,0,0.5077089758454142,6.149955578022086,16.02003069090555,1,0.9166744318878958
4,50.0,50.979296226923275,2.0,1.0,1966,0,1.5958740751872065,8.403036433999667,24.223947425018427,1,0.8288650966187164
5,92.0,63.95640986275364,2.0,1.0,1960,1,0.5482192335643268,6.870423181986025,25.012540485715864,1,0.8173873648051643
6,107.0,92.55680806334571,2.0,1.0,2009,0,0.2526514882411164,5.576542073116078,18.08603608746647,1,0.8994742390477184
7,103.0,83.67514815312836,3.0,2.0,2006,0,1.1166612045060018,5.686227534068852,67.97761231238012,0,0.057445274706390964
8,126.0,89.66397684991422,3.0,2.0,2015,0,0.3837386916578299,7.149646082605106,5.772824054276869,1,0.9684070219727199
9,50.0,72.9391214485284,3.0,2.0,2020,0,1.7611505979877593,5.084174171846211,40.614951907590516,1,0.4846310453498151
10,138.0,107.58795949725658,5.0,3.0,2019,0,2.376244137992768,9.160607180130906,3.0,1,0.9758729785823308
11,162.0,105.55583870857896,3.0,2.0,2021,0,1.0894374982833435,8.258705536651163,29.742852700487596,1,0.7360842638104148
12,127.0,91.32061395122432,3.0,2.0,1960,1,0.6946014749834264,9.192213185021197,10.825666543490833,1,0.9487015316396247
13,238.0,112.54482413936066,4.0,3.0,2008,1,0.6814179063582135,9.065708186930681,3.0,1,0.9758729785823308
14,130.0,99.35018684504091,4.0,2.0,2004,1,1.4066784066015137,6.577712242238089,14.66237461429882,1,0.9264750654568988
15,91.0,72.81415074233524,2.0,1.0,1970,0,0.8900185732578983,5.956804644819788,49.7754094310673,0,0.2733799866984618
16,111.0,97.37501568164998,3.0,2.0,1968,1,0.3854817824878186,3.7866727814029773,12.377306335881281,1,0.9406025489956511
17,132.0,70.82234798342003,3.0,2.0,2020,1,2.4561726785607614,6.512519050128441,27.37335193703708,1,0.7794844982361588
18,139.0,107.56900602614544,4.0,3.0,2014,0,3.288509243556641,9.118783427003143,25.37564480015217,1,0.8119048986107242
19,75.0,89.00148178027494,2.0,1.0,1980,0,1.0447511810143302,6.006579211003355,19.895131017180052,1,0.8818937455671227
20,109.0,86.30275272909479,2.0,1.0,1964,1,2.0993844434486024,6.748094806163493,3.0,1,0.9758729785823308
21,88.0,76.38140911192117,3.0,1.0,1980,1,1.8603930003836315,6.33451570110054,27.881635677398116,1,0.770623723271376
22,145.0,114.4508267734806,4.0,3.0,1960,0,2.4927141080738853,7.449994184329259,26.278396405342207,0,0.797728967910832
23,113.0,86.90941035862396,3.0,2.0,2002,0,0.22255259613889047,8.543301621057173,24.91465403647705,1,0.8188439325575185
24,92.0,81.43344355673786,3.0,2.0,1983,0,1.5629135862407146,5.15294725898258,32.04655629475888,1,0.6889777170509302
25,50.0,82.95732899023541,3.0,2.0,1963,0,2.0204411509333258,5.382668822043289,26.01872563413742,0,0.8018865728734902
26,171.0,100.64618371106698,4.0,3.0,2020,1,1.80810438287119,8.783944047129227,16.884079452065844,1,0.9098325483920566
27,134.0,97.30888128728157,3.0,2.0,2011,0,2.9050912037897305,7.879680249342171,9.692268018462212,1,0.9539451544187222
28,161.0,98.25465223191976,3.0,2.0,2016,1,2.5192948253993093,6.688743326381849,46.988322745384835,0,0.33207117842685646
29,167.0,98.61642006015765,3.0,1.0,2021,1,1.8317948503429637,9.048499314311693,4.036734354712487,1,0.9733077371043193
30,136.0,132.83295201740924,4.0,3.0,1960,0,1.3525506645931875,5.361965336332115,25.645219629290096,1,0.8077534226838053
31,172.0,81.87169967230768,3.0,2.0,2008,1,0.6996900816150966,8.11745618942924,29.679190804759934,1,0.7373191265481719
32,126.0,79.75514541856926,2.0,2.0,2008,1,1.2075270793967858,6.918114269363201,17.432936570038756,1,0.9052274427314388
33,81.0,73.72454543504244,3.0,2.0,2008,0,1.1481432802587894,7.727852603215471,9.389826294683884,1,0.9552558017052586
